date,value,index
2016-06-30,-1.19,99.7222
2016-09-30,-1.05,99.4987
2016-12-31,-2.59,99.3392
2017-03-31,-2.44,98.4989
2017-06-30,-0.95,98.7777
2017-09-30,-0.59,98.911
2017-12-31,-0.4,98.9378
2018-03-31,-0.1,98.3997
2018-06-30,-0.99,97.8033
2018-09-30,-1.6,97.3279
2018-12-31,-1.57,97.3833
2019-03-31,-0.89,97.5199
2019-06-30,-1.71,96.1355
2019-09-30,-1.92,95.4611
2019-12-31,-1.69,95.7375
2020-03-31,-3.09,94.5073
2020-06-30,-1.14,95.0364
2020-09-30,-0.25,95.2242
2020-12-31,0.96,96.6575
2021-03-31,3.15,97.4869
2021-06-30,2.74,97.6419
2021-09-30,1.98,97.1128
2021-12-31,0.49,97.1332
2022-03-31,-0.58,96.9173
2022-06-30,-1.97,95.7219
2022-09-30,-3.27,93.9389
2022-12-31,-3.61,93.6302
2023-03-31,-4.13,92.9153
2023-06-30,-4.3,91.608
2023-09-30,-3.91,90.2694
2023-12-31,-4.37,89.5361
2024-03-31,-4.16,89.0462
2024-06-30,-4.34,87.6357
2024-09-30,-3.49,87.1217
2024-12-31,-1.8,87.9247
2025-03-31,-1.23,87.954
2025-06-30,0.43,88.0128
2025-09-30,1.46,88.3898
